Artist,avgSent,deltaSTotal,deltaSEarly,deltaSLate
Faith No More,"[0.062, 0.056, 0.882]","[0.001, 0.006, -0.007]","[0.0, -0.002, 0.002]","[0.001, 0.009, -0.009]"
Falco,"[0.057, 0.045, 0.897]","[0.027, 0.011, -0.038]","[0.015, 0.01, -0.025]","[0.013, 0.0, -0.013]"
Fall Out Boy,"[0.066, 0.048, 0.886]","[0.016, 0.013, -0.029]","[0.001, 0.01, -0.01]","[0.015, 0.004, -0.019]"
Fastball,"[0.068, 0.043, 0.888]","[0.008, 0.016, -0.024]","[0.006, 0.011, -0.017]","[0.002, 0.005, -0.007]"
Fatboy Slim,"[0.097, 0.046, 0.857]","[-0.101, -0.018, 0.119]","[-0.063, 0.007, 0.056]","[-0.039, -0.025, 0.064]"
Fifth Harmony,"[0.107, 0.033, 0.86]","[-0.011, -0.007, 0.018]","[0.025, -0.013, -0.012]","[-0.036, 0.006, 0.03]"
Fiona Apple,"[0.08, 0.05, 0.87]","[-0.021, 0.01, 0.011]","[-0.002, 0.005, -0.003]","[-0.019, 0.005, 0.014]"
Fleetwood Mac,"[0.093, 0.047, 0.86]","[0.02, 0.004, -0.024]","[0.02, 0.003, -0.023]","[0.0, 0.001, -0.001]"
Foo Fighters,"[0.058, 0.05, 0.892]","[0.024, -0.036, 0.012]","[0.011, -0.024, 0.014]","[0.013, -0.011, -0.002]"
Foreigner,"[0.082, 0.056, 0.862]","[0.027, 0.021, -0.048]","[0.031, 0.022, -0.053]","[-0.004, -0.001, 0.005]"
Frank Sinatra,"[0.081, 0.043, 0.877]","[0.037, 0.019, -0.056]","[0.031, 0.012, -0.043]","[0.006, 0.007, -0.013]"
Frank Zappa,"[0.065, 0.039, 0.896]","[0.013, -0.003, -0.011]","[0.012, 0.001, -0.013]","[0.001, -0.003, 0.002]"
Frankie Laine,"[0.087, 0.038, 0.875]","[-0.0, 0.017, -0.016]","[-0.001, 0.016, -0.014]","[0.001, 0.001, -0.002]"
Frankie Valli,"[0.101, 0.034, 0.865]","[0.086, -0.022, -0.064]","[0.059, -0.019, -0.04]","[0.027, -0.003, -0.024]"
Freddie Aguilar,"[0.03, 0.019, 0.952]","[-0.024, 0.041, -0.017]","[-0.045, 0.019, 0.026]","[0.021, 0.022, -0.043]"
Freddie King,"[0.085, 0.037, 0.878]","[-0.141, -0.004, 0.144]","[-0.12, -0.004, 0.124]","[-0.021, 0.0, 0.021]"
Free,"[0.086, 0.036, 0.878]","[-0.071, 0.031, 0.04]","[-0.09, 0.029, 0.06]","[0.019, 0.002, -0.021]"
Freestyle,"[0.07, 0.037, 0.893]","[-0.054, 0.013, 0.041]","[-0.051, -0.016, 0.067]","[-0.003, 0.028, -0.026]"
Garth Brooks,"[0.078, 0.049, 0.873]","[-0.022, -0.019, 0.042]","[-0.012, -0.017, 0.029]","[-0.011, -0.002, 0.013]"
Gary Numan,"[0.08, 0.057, 0.862]","[0.01, -0.017, 0.007]","[0.013, -0.006, -0.007]","[-0.002, -0.011, 0.014]"
Gary Valenciano,"[0.058, 0.029, 0.913]","[-0.02, 0.012, 0.008]","[-0.002, 0.013, -0.011]","[-0.018, -0.001, 0.019]"
Genesis,"[0.073, 0.049, 0.878]","[-0.015, -0.017, 0.032]","[-0.015, -0.011, 0.026]","[-0.0, -0.006, 0.006]"
George Formby,"[0.062, 0.042, 0.896]","[-0.004, 0.036, -0.031]","[-0.002, 0.033, -0.031]","[-0.002, 0.002, -0.0]"
George Harrison,"[0.087, 0.051, 0.861]","[0.007, 0.007, -0.014]","[0.012, 0.006, -0.018]","[-0.006, 0.002, 0.004]"
George Jones,"[0.079, 0.051, 0.87]","[0.01, -0.024, 0.014]","[0.002, -0.023, 0.021]","[0.008, -0.001, -0.007]"
George Michael,"[0.091, 0.048, 0.862]","[-0.02, 0.007, 0.014]","[-0.01, 0.011, -0.001]","[-0.011, -0.005, 0.015]"
George Strait,"[0.078, 0.045, 0.877]","[-0.015, -0.004, 0.019]","[-0.01, -0.004, 0.014]","[-0.006, 0.0, 0.005]"
Gino Vannelli,"[0.076, 0.048, 0.876]","[0.02, -0.006, -0.014]","[0.015, 0.002, -0.017]","[0.004, -0.008, 0.003]"
Glen Campbell,"[0.088, 0.043, 0.869]","[0.002, -0.001, -0.001]","[0.0, -0.006, 0.006]","[0.002, 0.005, -0.006]"
Gloria Estefan,"[0.106, 0.051, 0.843]","[0.013, 0.093, -0.106]","[0.019, 0.015, -0.034]","[-0.006, 0.078, -0.073]"
Gloria Gaynor,"[0.103, 0.04, 0.857]","[0.02, -0.013, -0.007]","[0.021, -0.004, -0.017]","[-0.001, -0.009, 0.01]"
Gordon Lightfoot,"[0.07, 0.042, 0.888]","[0.013, 0.01, -0.023]","[0.007, 0.008, -0.015]","[0.007, 0.002, -0.009]"
Grand Funk Railroad,"[0.083, 0.04, 0.877]","[-0.012, 0.008, 0.004]","[-0.003, 0.002, 0.001]","[-0.009, 0.006, 0.003]"
Grateful Dead,"[0.067, 0.041, 0.892]","[0.017, 0.01, -0.026]","[0.014, 0.011, -0.024]","[0.003, -0.001, -0.002]"
Great Big Sea,"[0.059, 0.043, 0.898]","[-0.005, -0.021, 0.026]","[0.002, -0.006, 0.004]","[-0.007, -0.015, 0.022]"
Green Day,"[0.063, 0.053, 0.884]","[0.005, 0.013, -0.018]","[0.01, 0.012, -0.022]","[-0.005, 0.001, 0.004]"
Gucci Mane,"[0.047, 0.043, 0.91]","[0.012, -0.005, -0.007]","[0.014, -0.002, -0.012]","[-0.003, -0.003, 0.005]"
Guided By Voices,"[0.063, 0.029, 0.908]","[0.003, -0.011, 0.008]","[0.002, -0.008, 0.006]","[0.001, -0.002, 0.002]"
Hank Snow,"[0.078, 0.051, 0.871]","[0.016, 0.015, -0.031]","[0.026, 0.021, -0.047]","[-0.01, -0.006, 0.016]"
Hank Williams,"[0.071, 0.052, 0.878]","[0.004, -0.008, 0.004]","[0.003, -0.009, 0.005]","[0.001, 0.001, -0.001]"
Hank Williams Jr.,"[0.069, 0.054, 0.877]","[0.024, 0.01, -0.034]","[0.007, 0.012, -0.019]","[0.017, -0.001, -0.016]"
Hanson,"[0.067, 0.046, 0.887]","[0.024, -0.015, -0.009]","[0.016, 0.003, -0.019]","[0.008, -0.018, 0.01]"
Happy Mondays,"[0.062, 0.033, 0.905]","[-0.016, 0.007, 0.009]","[-0.006, -0.003, 0.009]","[-0.01, 0.009, 0.0]"
Harry Belafonte,"[0.07, 0.034, 0.895]","[-0.02, 0.018, 0.002]","[-0.003, 0.017, -0.014]","[-0.017, 0.001, 0.016]"
"Harry Connick, Jr.","[0.083, 0.046, 0.871]","[0.038, 0.005, -0.043]","[0.018, 0.013, -0.031]","[0.02, -0.007, -0.012]"
Heart,"[0.077, 0.05, 0.872]","[-0.009, 0.028, -0.019]","[0.002, 0.035, -0.037]","[-0.011, -0.007, 0.018]"
Helloween,"[0.067, 0.06, 0.873]","[0.001, 0.007, -0.007]","[0.0, 0.008, -0.008]","[0.0, -0.001, 0.0]"
Hillsong,"[0.11, 0.038, 0.852]","[-0.021, 0.011, 0.01]","[-0.001, 0.003, -0.002]","[-0.021, 0.008, 0.013]"
HIM,"[0.075, 0.068, 0.857]","[0.031, 0.001, -0.032]","[-0.008, 0.002, 0.006]","[0.039, -0.001, -0.038]"
Hooverphonic,"[0.075, 0.069, 0.856]","[0.01, -0.0, -0.009]","[0.003, -0.011, 0.009]","[0.007, 0.011, -0.018]"
Howard Jones,"[0.083, 0.051, 0.866]","[0.016, 0.005, -0.022]","[0.012, -0.009, -0.004]","[0.004, 0.014, -0.018]"
Ian Hunter,"[0.062, 0.051, 0.887]","[-0.001, 0.018, -0.017]","[-0.001, 0.015, -0.013]","[0.001, 0.003, -0.004]"
Ice Cube,"[0.05, 0.048, 0.902]","[-0.001, -0.0, 0.001]","[-0.001, -0.0, 0.001]","[-0.001, -0.0, 0.001]"
Idina Menzel,"[0.085, 0.047, 0.868]","[0.087, 0.026, -0.113]","[0.026, 0.013, -0.039]","[0.061, 0.013, -0.074]"
Iggy Pop,"[0.071, 0.05, 0.879]","[0.004, 0.007, -0.011]","[0.001, 0.007, -0.008]","[0.002, 0.0, -0.003]"
Il Divo,"[0.113, 0.066, 0.821]","[0.065, -0.007, -0.058]","[0.044, -0.005, -0.039]","[0.021, -0.002, -0.019]"
Imagine Dragons,"[0.054, 0.05, 0.896]","[-0.001, 0.024, -0.023]","[-0.003, 0.025, -0.022]","[0.002, -0.001, -0.001]"
Imago,"[0.041, 0.02, 0.939]","[0.106, -0.021, -0.086]","[0.017, -0.012, -0.005]","[0.089, -0.009, -0.081]"
Incognito,"[0.084, 0.036, 0.881]","[-0.007, 0.014, -0.007]","[0.0, 0.006, -0.006]","[-0.007, 0.008, -0.001]"
Incubus,"[0.071, 0.056, 0.873]","[0.001, -0.035, 0.034]","[0.005, -0.035, 0.03]","[-0.004, 0.001, 0.004]"
Indigo Girls,"[0.07, 0.05, 0.88]","[-0.021, -0.011, 0.033]","[-0.017, -0.01, 0.027]","[-0.004, -0.002, 0.006]"
Ingrid Michaelson,"[0.092, 0.044, 0.865]","[-0.011, -0.021, 0.032]","[0.003, -0.008, 0.005]","[-0.013, -0.013, 0.026]"
Inna,"[0.07, 0.024, 0.906]","[0.045, -0.04, -0.005]","[-0.026, -0.016, 0.042]","[0.071, -0.024, -0.047]"
Insane Clown Posse,"[0.05, 0.061, 0.889]","[-0.01, -0.023, 0.033]","[-0.007, -0.019, 0.026]","[-0.003, -0.004, 0.007]"
INXS,"[0.074, 0.053, 0.873]","[-0.016, 0.003, 0.012]","[-0.011, -0.002, 0.013]","[-0.005, 0.005, -0.0]"
Iron Butterfly,"[0.104, 0.039, 0.857]","[0.061, -0.01, -0.051]","[0.065, -0.014, -0.051]","[-0.004, 0.004, -0.0]"
